NAME                              IMAGE                                          COMMAND                  SERVICE                  CREATED       STATUS                   PORTS
anomaly-injector-service          ddos-detection-system-anomaly-injector         "python app.py"          anomaly-injector         5 hours ago   Up 5 hours (healthy)     0.0.0.0:5005->5005/tcp, [::]:5005->5005/tcp
auto-baselining-service           ddos-detection-system-auto-baselining          "python src/services…"   auto-baselining          5 hours ago   Up 5 hours (healthy)     0.0.0.0:5002->5002/tcp, [::]:5002->5002/tcp
banking-account-service           ddos-detection-system-account-service          "python app.py"          account-service          5 hours ago   Up 5 hours               0.0.0.0:8081->8081/tcp, [::]:8081->8081/tcp
banking-api-gateway               ddos-detection-system-api-gateway              "docker-entrypoint.s…"   api-gateway              5 hours ago   Up 5 hours               0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
banking-auth-service              ddos-detection-system-auth-service             "python app.py"          auth-service             5 hours ago   Up 5 hours               0.0.0.0:8083->8083/tcp, [::]:8083->8083/tcp
banking-db-connection-demo        ddos-detection-system-db-connection-demo       "python app.py"          db-connection-demo       5 hours ago   Up 5 hours (unhealthy)   0.0.0.0:9417->9417/tcp, [::]:9417->9417/tcp, 0.0.0.0:5009->5006/tcp, [::]:5009->5006/tcp
banking-fraud-detection           ddos-detection-system-fraud-detection          "python app.py"          fraud-detection          5 hours ago   Up 5 hours               0.0.0.0:8085->8085/tcp, [::]:8085->8085/tcp
banking-kafka                     confluentinc/cp-kafka:7.4.0                    "/etc/confluent/dock…"   kafka                    5 hours ago   Up 5 hours (healthy)     0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp, 0.0.0.0:9101->9101/tcp, [::]:9101->9101/tcp
banking-kafka-exporter            danielqsj/kafka-exporter:latest                "/bin/kafka_exporter…"   kafka-exporter           5 hours ago   Up 5 hours               0.0.0.0:9308->9308/tcp, [::]:9308->9308/tcp
banking-load-generator            ddos-detection-system-load-generator           "python load_generat…"   load-generator           5 hours ago   Up 5 hours               
banking-message-consumer          ddos-detection-system-message-consumer         "python app.py"          message-consumer         5 hours ago   Up 2 hours (unhealthy)   0.0.0.0:5008->5008/tcp, [::]:5008->5008/tcp, 0.0.0.0:9416->9416/tcp, [::]:9416->9416/tcp
banking-message-producer          ddos-detection-system-message-producer         "python app.py"          message-producer         5 hours ago   Up 5 hours (unhealthy)   0.0.0.0:5007->5007/tcp, [::]:5007->5007/tcp, 0.0.0.0:9415->9415/tcp, [::]:9415->9415/tcp
banking-mysql                     mysql:8.0                                      "docker-entrypoint.s…"   mysql-db                 5 hours ago   Up 5 hours (healthy)     0.0.0.0:3306->3306/tcp, [::]:3306->3306/tcp
banking-notification-service      ddos-detection-system-notification-service     "python app.py"          notification-service     5 hours ago   Up 5 hours               0.0.0.0:8084->8084/tcp, [::]:8084->8084/tcp
banking-postgres                  postgres:15-alpine                             "docker-entrypoint.s…"   postgres                 5 hours ago   Up 5 hours (healthy)     0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp
banking-postgres-exporter         prometheuscommunity/postgres-exporter:latest   "/bin/postgres_expor…"   postgres-exporter        5 hours ago   Up 5 hours               0.0.0.0:9187->9187/tcp, [::]:9187->9187/tcp
banking-rabbitmq                  rabbitmq:3.12-management                       "docker-entrypoint.s…"   rabbitmq                 5 hours ago   Up 5 hours (healthy)     0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp, 0.0.0.0:15692->15692/tcp, [::]:15692->15692/tcp
banking-transaction-service       ddos-detection-system-transaction-service      "python app.py"          transaction-service      5 hours ago   Up 5 hours               0.0.0.0:8082->8082/tcp, [::]:8082->8082/tcp
banking-zookeeper                 confluentinc/cp-zookeeper:7.4.0                "/etc/confluent/dock…"   zookeeper                5 hours ago   Up 5 hours               0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp
cadvisor                          gcr.io/cadvisor/cadvisor:latest                "/usr/bin/cadvisor -…"   cadvisor                 5 hours ago   Up 5 hours (healthy)     0.0.0.0:8086->8080/tcp, [::]:8086->8080/tcp
ddos-ml-detection                 ddos-detection-system-ddos-ml-detection        "python src/services…"   ddos-ml-detection        5 hours ago   Up 5 hours (healthy)     0.0.0.0:5001->5001/tcp, [::]:5001->5001/tcp
grafana                           grafana/grafana:latest                         "/run.sh"                grafana                  5 hours ago   Up 4 hours               0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
jaeger                            jaegertracing/all-in-one:1.45                  "/go/bin/all-in-one-…"   jaeger                   5 hours ago   Up 5 hours (unhealthy)   0.0.0.0:4317-4318->4317-4318/tcp, [::]:4317-4318->4317-4318/tcp, 0.0.0.0:14250->14250/tcp, [::]:14250->14250/tcp, 0.0.0.0:14268->14268/tcp, [::]:14268->14268/tcp, 0.0.0.0:16686->16686/tcp, [::]:16686->16686/tcp
mock-iis-application              ddos-detection-system-mock-iis-application     "python app.py"          mock-iis-application     5 hours ago   Up 5 hours (unhealthy)   0.0.0.0:8090->8090/tcp, [::]:8090->8090/tcp
mock-windows-exporter             ddos-detection-system-mock-windows-exporter    "python app.py"          mock-windows-exporter    5 hours ago   Up 5 hours (healthy)     0.0.0.0:9182->9182/tcp, [::]:9182->9182/tcp
node-exporter                     prom/node-exporter:latest                      "/bin/node_exporter …"   node-exporter            5 hours ago   Up 5 hours               0.0.0.0:9100->9100/tcp, [::]:9100->9100/tcp
performance-aggregator-service    ddos-detection-system-performance-aggregator   "python app.py"          performance-aggregator   5 hours ago   Up 5 hours (healthy)     0.0.0.0:5004->5004/tcp, [::]:5004->5004/tcp
prometheus                        prom/prometheus:latest                         "/bin/prometheus --c…"   prometheus               5 hours ago   Up 5 hours               0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
trace-generator                   ddos-detection-system-trace-generator          "python app.py"          trace-generator          5 hours ago   Up 5 hours (healthy)     0.0.0.0:9414->9414/tcp, [::]:9414->9414/tcp
transaction-performance-monitor   ddos-detection-system-transaction-monitor      "python app.py"          transaction-monitor      5 hours ago   Up 5 hours (healthy)     0.0.0.0:5003->5003/tcp, [::]:5003->5003/tcp
