# Metrics for cache-proxy
# Job: cache-proxy
# Category: cache
# Exported at: 2025-07-02T11:09:53.984191
# Total metrics: 134
# Unique metric types: 24

## banking_cache_active_entries
banking_cache_active_entries{instance="cache-proxy-service:5020",job="cache-proxy"} 1

## banking_cache_hits_created
banking_cache_hits_created{endpoint="/fraud/alerts",instance="cache-proxy-service:5020",job="cache-proxy",method="GET",operation="fraud_check",service="fraud"} 1751429187.664223

## banking_cache_hits_total
banking_cache_hits_total{endpoint="/fraud/alerts",instance="cache-proxy-service:5020",job="cache-proxy",method="GET",operation="fraud_check",service="fraud"} 1097

## banking_cache_misses_created
banking_cache_misses_created{endpoint="/fraud/alerts",instance="cache-proxy-service:5020",job="cache-proxy",method="GET",operation="fraud_check",service="fraud"} 1751429185.619225

## banking_cache_misses_total
banking_cache_misses_total{endpoint="/fraud/alerts",instance="cache-proxy-service:5020",job="cache-proxy",method="GET",operation="fraud_check",service="fraud"} 45

## banking_proxy_request_duration_seconds_bucket
banking_proxy_request_duration_seconds_bucket{cache_status="bypass",instance="cache-proxy-service:5020",job="cache-proxy",le="0.005",method="POST",service="auth"} 2
banking_proxy_request_duration_seconds_bucket{cache_status="bypass",instance="cache-proxy-service:5020",job="cache-proxy",le="0.01",method="POST",service="auth"} 2
banking_proxy_request_duration_seconds_bucket{cache_status="bypass",instance="cache-proxy-service:5020",job="cache-proxy",le="0.025",method="POST",service="auth"} 3
banking_proxy_request_duration_seconds_bucket{cache_status="bypass",instance="cache-proxy-service:5020",job="cache-proxy",le="0.05",method="POST",service="auth"} 3
banking_proxy_request_duration_seconds_bucket{cache_status="bypass",instance="cache-proxy-service:5020",job="cache-proxy",le="0.075",method="POST",service="auth"} 3
banking_proxy_request_duration_seconds_bucket{cache_status="bypass",instance="cache-proxy-service:5020",job="cache-proxy",le="0.1",method="POST",service="auth"} 3
banking_proxy_request_duration_seconds_bucket{cache_status="bypass",instance="cache-proxy-service:5020",job="cache-proxy",le="0.25",method="POST",service="auth"} 3
