# Metrics for redis-exporter
# Job: redis-exporter
# Category: cache
# Exported at: 2025-07-02T11:09:53.994813
# Total metrics: 675
# Unique metric types: 323

## go_cgo_go_to_c_calls_calls_total
go_cgo_go_to_c_calls_calls_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_cpu_classes_gc_mark_assist_cpu_seconds_total
go_cpu_classes_gc_mark_assist_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.130576836

## go_cpu_classes_gc_mark_dedicated_cpu_seconds_total
go_cpu_classes_gc_mark_dedicated_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 1.234097636

## go_cpu_classes_gc_mark_idle_cpu_seconds_total
go_cpu_classes_gc_mark_idle_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.198071343

## go_cpu_classes_gc_pause_cpu_seconds_total
go_cpu_classes_gc_pause_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 4.353269825

## go_cpu_classes_gc_total_cpu_seconds_total
go_cpu_classes_gc_total_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 5.91601564

## go_cpu_classes_idle_cpu_seconds_total
go_cpu_classes_idle_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 57029.447124714

## go_cpu_classes_scavenge_assist_cpu_seconds_total
go_cpu_classes_scavenge_assist_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 2.09e-07

## go_cpu_classes_scavenge_background_cpu_seconds_total
go_cpu_classes_scavenge_background_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.122932185

## go_cpu_classes_scavenge_total_cpu_seconds_total
go_cpu_classes_scavenge_total_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.122932394

## go_cpu_classes_total_cpu_seconds_total
go_cpu_classes_total_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 57050.85656931

## go_cpu_classes_user_cpu_seconds_total
go_cpu_classes_user_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 15.370496562

## go_gc_cycles_automatic_gc_cycles_total
go_gc_cycles_automatic_gc_cycles_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 329

## go_gc_cycles_forced_gc_cycles_total
go_gc_cycles_forced_gc_cycles_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_gc_cycles_total_gc_cycles_total
go_gc_cycles_total_gc_cycles_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 329

## go_gc_duration_seconds
go_gc_duration_seconds{instance="banking-redis-exporter:9121",job="redis-exporter",quantile="0.0"} 0.000083625
go_gc_duration_seconds{instance="banking-redis-exporter:9121",job="redis-exporter",quantile="0.25"} 0.000633583
go_gc_duration_seconds{instance="banking-redis-exporter:9121",job="redis-exporter",quantile="0.5"} 0.001003334
go_gc_duration_seconds{instance="banking-redis-exporter:9121",job="redis-exporter",quantile="0.75"} 0.001566792
go_gc_duration_seconds{instance="banking-redis-exporter:9121",job="redis-exporter",quantile="1.0"} 0.008956625

## go_gc_duration_seconds_count
go_gc_duration_seconds_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 329

## go_gc_duration_seconds_sum
go_gc_duration_seconds_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.460950136

## go_gc_gogc_percent
go_gc_gogc_percent{instance="banking-redis-exporter:9121",job="redis-exporter"} 100

## go_gc_gomemlimit_bytes
go_gc_gomemlimit_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 9223372036854776000

## go_gc_heap_allocs_by_size_bytes_bucket
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="8.999999999999998"} 163468
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="24.999999999999996"} 1821562
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="64.99999999999999"} 2542653
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="144.99999999999997"} 3041064
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="320.99999999999994"} 3080904
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="704.9999999999999"} 3093410
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="1536.9999999999998"} 3101148
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="3200.9999999999995"} 3105331
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6528.999999999999"} 3111173
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="13568.999999999998"} 3114242
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="27264.999999999996"} 3115378
go_gc_heap_allocs_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 3116788

## go_gc_heap_allocs_by_size_bytes_count
go_gc_heap_allocs_by_size_bytes_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 3116788

## go_gc_heap_allocs_by_size_bytes_sum
go_gc_heap_allocs_by_size_bytes_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 468570352

## go_gc_heap_allocs_bytes_total
go_gc_heap_allocs_bytes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 468570352

## go_gc_heap_allocs_objects_total
go_gc_heap_allocs_objects_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 3116788

## go_gc_heap_frees_by_size_bytes_bucket
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="8.999999999999998"} 163009
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="24.999999999999996"} 1817361
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="64.99999999999999"} 2535174
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="144.99999999999997"} 3031220
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="320.99999999999994"} 3070822
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="704.9999999999999"} 3082935
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="1536.9999999999998"} 3090490
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="3200.9999999999995"} 3094626
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6528.999999999999"} 3100444
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="13568.999999999998"} 3103493
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="27264.999999999996"} 3104625
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 3106023

## go_gc_heap_frees_by_size_bytes_count
go_gc_heap_frees_by_size_bytes_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 3106023

## go_gc_heap_frees_by_size_bytes_sum
go_gc_heap_frees_by_size_bytes_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 464655576

