# Metrics for banking-db-demo
# Job: banking-db-demo
# Category: database
# Exported at: 2025-07-02T11:09:53.994684
# Total metrics: 121
# Unique metric types: 36

## banking_db_connection_acquisition_duration_seconds_bucket
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.001",operation="acquire",service="db-demo"} 10157
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.005",operation="acquire",service="db-demo"} 10183
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.01",operation="acquire",service="db-demo"} 10187
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.025",operation="acquire",service="db-demo"} 10189
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.05",operation="acquire",service="db-demo"} 10192
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.1",operation="acquire",service="db-demo"} 10192
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.25",operation="acquire",service="db-demo"} 10192
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.5",operation="acquire",service="db-demo"} 10192
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="1.0",operation="acquire",service="db-demo"} 10192
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="2.5",operation="acquire",service="db-demo"} 10192
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="5.0",operation="acquire",service="db-demo"} 10192
banking_db_connection_acquisition_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="+Inf",operation="acquire",service="db-demo"} 10192

## banking_db_connection_acquisition_duration_seconds_count
banking_db_connection_acquisition_duration_seconds_count{instance="banking-db-connection-demo:5006",job="banking-db-demo",operation="acquire",service="db-demo"} 10192

## banking_db_connection_acquisition_duration_seconds_created
banking_db_connection_acquisition_duration_seconds_created{instance="banking-db-connection-demo:5006",job="banking-db-demo",operation="acquire",service="db-demo"} 1751429130.888677

## banking_db_connection_acquisition_duration_seconds_sum
banking_db_connection_acquisition_duration_seconds_sum{instance="banking-db-connection-demo:5006",job="banking-db-demo",operation="acquire",service="db-demo"} 0.6362771987915039

## banking_db_pool_connections_active
banking_db_pool_connections_active{instance="banking-db-connection-demo:5006",job="banking-db-demo",service="db-demo"} 0

## banking_db_pool_connections_idle
banking_db_pool_connections_idle{instance="banking-db-connection-demo:5006",job="banking-db-demo",service="db-demo"} 5

## banking_db_pool_size
banking_db_pool_size{instance="banking-db-connection-demo:5006",job="banking-db-demo",service="db-demo"} 20

## banking_db_pool_utilization_percent
banking_db_pool_utilization_percent{instance="banking-db-connection-demo:5006",job="banking-db-demo",service="db-demo"} 0

## banking_db_queries_created
banking_db_queries_created{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="select",service="db-demo",status="success"} 1751429130.8948488
banking_db_queries_created{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="insert",service="db-demo",status="success"} 1751429132.0065792
banking_db_queries_created{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="update",service="db-demo",status="success"} 1751429134.9574726

## banking_db_queries_total
banking_db_queries_total{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="select",service="db-demo",status="success"} 4118
banking_db_queries_total{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="insert",service="db-demo",status="success"} 4069
banking_db_queries_total{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="update",service="db-demo",status="success"} 2005

## banking_db_query_duration_seconds_bucket
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.005",query_type="select",service="db-demo"} 4030
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.01",query_type="select",service="db-demo"} 4083
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.025",query_type="select",service="db-demo"} 4108
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.05",query_type="select",service="db-demo"} 4113
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.075",query_type="select",service="db-demo"} 4115
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.1",query_type="select",service="db-demo"} 4115
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.25",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.5",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.75",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="1.0",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="2.5",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="5.0",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="7.5",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="10.0",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="+Inf",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.005",query_type="insert",service="db-demo"} 3797
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.01",query_type="insert",service="db-demo"} 3984
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.025",query_type="insert",service="db-demo"} 4046
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.05",query_type="insert",service="db-demo"} 4061
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.075",query_type="insert",service="db-demo"} 4066
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.1",query_type="insert",service="db-demo"} 4068
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.25",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.5",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.75",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="1.0",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="2.5",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="5.0",query_type="insert",service="db-demo"} 4069
