# Metrics for banking-rabbitmq
# Job: banking-rabbitmq
# Category: messaging
# Exported at: 2025-07-02T11:09:54.024823
# Total metrics: 1883
# Unique metric types: 203

## erlang_mnesia_committed_transactions
erlang_mnesia_committed_transactions{instance="banking-rabbitmq:15692",job="banking-rabbitmq"} 628

## erlang_mnesia_failed_transactions
erlang_mnesia_failed_transactions{instance="banking-rabbitmq:15692",job="banking-rabbitmq"} 1

## erlang_mnesia_held_locks
erlang_mnesia_held_locks{instance="banking-rabbitmq:15692",job="banking-rabbitmq"} 0

## erlang_mnesia_lock_queue
erlang_mnesia_lock_queue{instance="banking-rabbitmq:15692",job="banking-rabbitmq"} 0

## erlang_mnesia_logged_transactions
erlang_mnesia_logged_transactions{instance="banking-rabbitmq:15692",job="banking-rabbitmq"} 73

## erlang_mnesia_memory_usage_bytes
erlang_mnesia_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq"} 77696

## erlang_mnesia_restarted_transactions
erlang_mnesia_restarted_transactions{instance="banking-rabbitmq:15692",job="banking-rabbitmq"} 0

## erlang_mnesia_tablewise_memory_usage_bytes
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="schema"} 24504
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_user"} 2656
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_user_permission"} 2808
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_topic_permission"} 2456
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_vhost"} 2680
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_durable_route"} 2456
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_semi_durable_route"} 1128
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_route"} 1128
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_reverse_route"} 1128
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_index_route"} 3224
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_topic_trie_node"} 1128
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_topic_trie_edge"} 1128
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_topic_trie_binding"} 1128
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_durable_exchange"} 4800
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_exchange"} 4968
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_exchange_serial"} 2456
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_runtime_parameters"} 2584
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_durable_queue"} 4600
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="gm_group"} 2456
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="mirrored_sup_childspec"} 1128
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_queue"} 4600
erlang_mnesia_tablewise_memory_usage_bytes{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_node_maintenance_states"} 2552

## erlang_mnesia_tablewise_size
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="schema"} 22
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_user"} 1
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_user_permission"} 1
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_topic_permission"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_vhost"} 1
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_durable_route"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_semi_durable_route"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_route"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_reverse_route"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_index_route"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_topic_trie_node"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_topic_trie_edge"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_topic_trie_binding"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_durable_exchange"} 7
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_exchange"} 7
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_exchange_serial"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_runtime_parameters"} 1
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_durable_queue"} 5
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="gm_group"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="mirrored_sup_childspec"} 0
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_queue"} 5
erlang_mnesia_tablewise_size{instance="banking-rabbitmq:15692",job="banking-rabbitmq",table="rabbit_node_maintenance_states"} 1

## erlang_mnesia_transaction_coordinators
erlang_mnesia_transaction_coordinators{instance="banking-rabbitmq:15692",job="banking-rabbitmq"} 0

## erlang_mnesia_transaction_participants
erlang_mnesia_transaction_participants{instance="banking-rabbitmq:15692",job="banking-rabbitmq"} 0

## erlang_vm_allocators
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
