# Metrics for container-resource-monitor
# Job: container-resource-monitor
# Category: monitoring
# Exported at: 2025-07-02T11:09:53.946625
# Total metrics: 150
# Unique metric types: 28

## container_analysis_duration_seconds_bucket
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="0.005"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="0.01"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="0.025"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="0.05"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="0.075"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="0.1"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="0.25"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="0.5"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="0.75"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="1.0"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="2.5"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="5.0"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="7.5"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="10.0"} 0
container_analysis_duration_seconds_bucket{instance="banking-container-monitor:5010",job="container-resource-monitor",le="+Inf"} 30

## container_analysis_duration_seconds_count
container_analysis_duration_seconds_count{instance="banking-container-monitor:5010",job="container-resource-monitor"} 30

## container_analysis_duration_seconds_created
container_analysis_duration_seconds_created{instance="banking-container-monitor:5010",job="container-resource-monitor"} 1751432963.2644227

## container_analysis_duration_seconds_sum
container_analysis_duration_seconds_sum{instance="banking-container-monitor:5010",job="container-resource-monitor"} 1021.2072167396545

## container_analysis_errors_created
container_analysis_errors_created{instance="banking-container-monitor:5010",job="container-resource-monitor"} 1751432963.2644668

## container_analysis_errors_total
container_analysis_errors_total{instance="banking-container-monitor:5010",job="container-resource-monitor"} 0

## container_cpu_usage_cores
container_cpu_usage_cores{container_name="resource-anomaly-generator",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.005139826422372227
container_cpu_usage_cores{container_name="cache-load-generator",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.0015384615384615382
container_cpu_usage_cores{container_name="load-generator",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.032916666666666664
container_cpu_usage_cores{container_name="api-gateway",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.10198801198801198
container_cpu_usage_cores{container_name="cache-proxy-service",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.03865055387713998
container_cpu_usage_cores{container_name="transaction-service",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.038251417769376184
container_cpu_usage_cores{container_name="ddos-ml-detection",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.0019090009891196836
container_cpu_usage_cores{container_name="transaction-monitor",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.36769929364278503
container_cpu_usage_cores{container_name="auto-baselining",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.09373253493013972
container_cpu_usage_cores{container_name="fraud-detection",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.04565868263473054
container_cpu_usage_cores{container_name="account-service",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.06586206896551725
container_cpu_usage_cores{container_name="notification-service",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.02127255460588794
container_cpu_usage_cores{container_name="auth-service",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.06356999999999999
container_cpu_usage_cores{container_name="redis-exporter",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0
container_cpu_usage_cores{container_name="banking-redis",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.05391615541922291
container_cpu_usage_cores{container_name="mysql-db",instance="banking-container-monitor:5010",job="container-resource-monitor"} 0.03728830645161291
