# Metrics for node-exporter
# Job: node-exporter
# Category: monitoring
# Exported at: 2025-07-02T11:09:54.004769
# Total metrics: 2478
# Unique metric types: 317

## go_gc_duration_seconds
go_gc_duration_seconds{instance="node-exporter:9100",job="node-exporter",quantile="0.0"} 0.000010083
go_gc_duration_seconds{instance="node-exporter:9100",job="node-exporter",quantile="0.25"} 0.000019626
go_gc_duration_seconds{instance="node-exporter:9100",job="node-exporter",quantile="0.5"} 0.000029
go_gc_duration_seconds{instance="node-exporter:9100",job="node-exporter",quantile="0.75"} 0.000392
go_gc_duration_seconds{instance="node-exporter:9100",job="node-exporter",quantile="1.0"} 0.005699583

## go_gc_duration_seconds_count
go_gc_duration_seconds_count{instance="node-exporter:9100",job="node-exporter"} 1367

## go_gc_duration_seconds_sum
go_gc_duration_seconds_sum{instance="node-exporter:9100",job="node-exporter"} 0.289862925

## go_gc_gogc_percent
go_gc_gogc_percent{instance="node-exporter:9100",job="node-exporter"} 100

## go_gc_gomemlimit_bytes
go_gc_gomemlimit_bytes{instance="node-exporter:9100",job="node-exporter"} 9223372036854776000

## go_goroutines
go_goroutines{instance="node-exporter:9100",job="node-exporter"} 7

## go_info
go_info{instance="node-exporter:9100",job="node-exporter",version="go1.23.7"} 1

## go_memstats_alloc_bytes
go_memstats_alloc_bytes{instance="node-exporter:9100",job="node-exporter"} 2692872

## go_memstats_alloc_bytes_total
go_memstats_alloc_bytes_total{instance="node-exporter:9100",job="node-exporter"} 2792248800

## go_memstats_buck_hash_sys_bytes
go_memstats_buck_hash_sys_bytes{instance="node-exporter:9100",job="node-exporter"} 1614866

## go_memstats_frees_total
go_memstats_frees_total{instance="node-exporter:9100",job="node-exporter"} 24965454

## go_memstats_gc_sys_bytes
go_memstats_gc_sys_bytes{instance="node-exporter:9100",job="node-exporter"} 3148984

## go_memstats_heap_alloc_bytes
go_memstats_heap_alloc_bytes{instance="node-exporter:9100",job="node-exporter"} 2692872

## go_memstats_heap_idle_bytes
go_memstats_heap_idle_bytes{instance="node-exporter:9100",job="node-exporter"} 7405568

## go_memstats_heap_inuse_bytes
go_memstats_heap_inuse_bytes{instance="node-exporter:9100",job="node-exporter"} 4538368

## go_memstats_heap_objects
go_memstats_heap_objects{instance="node-exporter:9100",job="node-exporter"} 28569

## go_memstats_heap_released_bytes
go_memstats_heap_released_bytes{instance="node-exporter:9100",job="node-exporter"} 6832128

## go_memstats_heap_sys_bytes
go_memstats_heap_sys_bytes{instance="node-exporter:9100",job="node-exporter"} 11943936

## go_memstats_last_gc_time_seconds
go_memstats_last_gc_time_seconds{instance="node-exporter:9100",job="node-exporter"} 1751434771.2764869

## go_memstats_mallocs_total
go_memstats_mallocs_total{instance="node-exporter:9100",job="node-exporter"} 24994023

## go_memstats_mcache_inuse_bytes
go_memstats_mcache_inuse_bytes{instance="node-exporter:9100",job="node-exporter"} 1200

## go_memstats_mcache_sys_bytes
go_memstats_mcache_sys_bytes{instance="node-exporter:9100",job="node-exporter"} 15600

## go_memstats_mspan_inuse_bytes
go_memstats_mspan_inuse_bytes{instance="node-exporter:9100",job="node-exporter"} 80160

## go_memstats_mspan_sys_bytes
go_memstats_mspan_sys_bytes{instance="node-exporter:9100",job="node-exporter"} 97920

## go_memstats_next_gc_bytes
go_memstats_next_gc_bytes{instance="node-exporter:9100",job="node-exporter"} 4194304

## go_memstats_other_sys_bytes
go_memstats_other_sys_bytes{instance="node-exporter:9100",job="node-exporter"} 731342

## go_memstats_stack_inuse_bytes
go_memstats_stack_inuse_bytes{instance="node-exporter:9100",job="node-exporter"} 622592

## go_memstats_stack_sys_bytes
go_memstats_stack_sys_bytes{instance="node-exporter:9100",job="node-exporter"} 622592

## go_memstats_sys_bytes
go_memstats_sys_bytes{instance="node-exporter:9100",job="node-exporter"} 18175240

